2023-08-04 18:28:14.120 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 18:28:14.125 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-04 18:28:17.665 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 18:28:17.666 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-04 18:28:17.667 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 18:28:17.667 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-04 18:28:17.668 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:06:09.762 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 11:06:09.763 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 11:06:09.825 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:06:09.826 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 11:06:09.847 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:06:09.848 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 11:06:10.167 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:06:10.169 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 11:06:14.996 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:06:14.997 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 11:06:14.998 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:06:14.999 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 11:06:15.001 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:23:11.847 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 11:23:12.004 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:23:12.007 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 11:23:12.057 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:23:12.059 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 11:23:12.460 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:23:12.462 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 11:23:17.538 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:23:17.539 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 11:23:17.541 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 11:23:17.541 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 11:23:17.543 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:31:45.071 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 12:31:45.116 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:31:45.117 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 12:31:45.154 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:31:45.156 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 12:31:45.157 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:31:45.158 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 12:31:45.160 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:31:45.160 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 12:31:45.162 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:31:45.162 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 12:31:45.163 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:32:05.423 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 12:32:05.425 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:32:05.425 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 12:32:05.427 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:32:05.428 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 12:32:05.429 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:32:05.429 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 12:32:06.807 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:32:06.808 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 12:32:06.809 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 12:32:06.809 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 12:32:06.811 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 13:47:45.853 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 13:47:45.902 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 13:47:45.903 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 13:47:45.923 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 13:47:45.924 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 13:47:46.227 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 13:47:46.228 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 13:47:51.384 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 13:47:51.386 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 13:47:51.387 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 13:47:51.388 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 13:47:51.391 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 14:32:59.008 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 14:32:59.055 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 14:32:59.055 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 14:32:59.157 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 14:32:59.157 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 14:33:00.132 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 14:33:00.136 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 14:33:09.921 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 14:33:09.921 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 14:33:09.925 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 14:33:09.925 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 14:33:09.929 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:01:58.886 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 16:01:58.969 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:01:58.972 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 16:01:59.018 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:01:59.019 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 16:01:59.717 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:01:59.717 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 16:02:05.081 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:02:05.081 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 16:02:05.085 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:02:05.085 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 16:02:05.087 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:16:13.033 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 16:16:13.109 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:16:13.109 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 16:16:13.257 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:16:13.257 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 16:16:13.261 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:16:13.261 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 16:16:18.291 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:16:18.291 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 16:16:18.295 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:16:18.295 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 16:16:18.295 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:50:14.515 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 16:50:14.586 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:50:14.588 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-05 16:50:14.735 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:50:14.736 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-05 16:50:15.716 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:50:15.718 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-05 16:50:24.487 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:50:24.488 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-05 16:50:24.489 | INFO     | __main__:wrapper:44 - 	✓
2023-08-05 16:50:24.490 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-05 16:50:24.492 | INFO     | __main__:wrapper:44 - 	✓
2023-08-06 23:13:51.816 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-06 23:13:51.929 | INFO     | __main__:wrapper:44 - 	✓
2023-08-06 23:13:51.931 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-06 23:13:51.989 | INFO     | __main__:wrapper:44 - 	✓
2023-08-06 23:13:51.995 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-06 23:13:51.996 | INFO     | __main__:wrapper:44 - 	✓
2023-08-06 23:13:51.998 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-06 23:13:51.998 | INFO     | __main__:wrapper:44 - 	✓
2023-08-06 23:13:51.998 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-06 23:13:52.003 | INFO     | __main__:wrapper:44 - 	✓
2023-08-06 23:13:52.003 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
